,years_of_experience,aerodynamics_score,technological_score,Leader,Leadership_score,distance,route_match,fuel_consumption,engine_temperature,body_weight,sensor_equipped
0,4,45,10,1,540,668,76,71,37,1566,0
1,6,29,7,0,369,870,68,103,65,1659,0
2,8,34,9,0,443,507,95,60,69,1617,0
3,5,50,9,1,588,970,53,43,53,2278,1
4,4,19,8,0,266,841,31,54,55,1426,0
5,7,12,10,0,225,830,66,124,59,1695,1
6,20,29,2,0,404,905,20,80,39,3634,0
7,5,9,8,0,171,857,15,35,48,1668,1
8,16,10,5,0,215,559,52,116,78,1563,0
9,11,23,8,0,341,574,42,45,76,3872,0
10,11,7,10,0,195,994,18,44,39,2114,1
11,2,45,4,1,488,923,64,48,44,3449,1
12,14,25,4,0,348,736,70,42,72,3173,0
13,1,38,3,0,406,840,13,84,43,3796,0
14,5,17,5,0,230,612,90,60,56,3655,0
15,8,23,10,0,340,961,1,37,70,2760,0
16,12,11,7,0,219,876,93,100,41,3148,1
17,7,6,7,0,144,911,47,83,78,2930,1
18,17,41,9,1,558,924,65,103,44,1613,1
19,9,33,2,1,389,644,82,136,45,1617,0
20,6,49,5,1,555,983,17,141,55,3271,1
21,0,6,5,0,95,781,62,59,76,3771,0
22,18,20,6,0,332,807,62,111,56,1221,0
23,20,34,7,1,489,514,3,123,36,1204,1
24,12,26,4,0,348,585,76,43,58,3179,0
25,10,32,5,0,405,987,68,125,79,2102,1
26,14,28,1,0,357,724,86,68,60,2062,0
27,13,45,4,1,543,544,45,83,48,3548,1
28,12,9,10,1,220,947,73,40,37,2349,1
29,18,35,7,1,489,920,78,125,68,2334,1
30,2,23,6,0,282,948,43,134,43,3531,0
31,14,30,7,0,419,507,94,70,68,3021,0
32,19,35,1,1,452,570,61,125,41,3295,1
33,9,48,9,1,588,657,39,59,45,2808,1
34,17,7,4,0,183,502,27,116,47,3849,1
35,12,6,1,0,127,850,44,117,60,2245,0
36,17,31,2,0,409,845,42,148,42,1651,0
37,4,37,1,0,397,625,92,89,47,3602,0
38,16,25,10,0,400,830,77,62,54,3182,0
39,0,42,2,0,434,882,33,102,70,3911,0
40,9,25,9,0,358,895,70,141,67,3093,0
41,3,42,8,1,491,722,68,108,49,2823,0
42,16,12,3,0,221,970,87,67,71,1863,1
43,20,24,2,0,354,619,28,112,67,2098,1
44,9,22,1,0,272,688,90,130,64,2579,0
45,5,13,3,1,176,632,31,62,61,3965,0
46,15,32,7,0,444,710,75,39,46,2476,1
47,6,28,7,0,359,850,92,84,61,1251,0
48,5,45,7,1,524,986,71,114,78,3849,0
49,4,6,1,0,87,665,25,43,36,1413,0
50,13,25,7,0,364,837,39,145,56,1647,1
51,12,34,5,0,435,617,45,135,37,2332,0
52,18,39,8,1,536,838,60,139,73,1887,1
53,5,15,5,0,210,675,5,95,52,2509,1
54,2,17,1,0,187,800,18,132,72,2408,1
55,12,26,10,0,390,814,63,116,56,2598,1
56,10,13,1,0,187,953,29,131,74,2921,0
57,11,11,6,0,207,805,67,103,65,2031,0
58,14,17,1,0,247,989,14,98,78,3551,1
59,14,19,3,0,281,941,90,149,53,2685,1
60,5,23,2,0,269,844,83,114,60,3530,0
61,14,21,5,0,315,790,19,91,39,3580,0
62,10,35,8,1,456,639,42,103,56,3358,1
63,15,48,8,1,611,573,75,98,53,3546,0
64,2,45,9,1,523,806,5,39,43,3982,0
65,13,32,2,0,399,670,44,137,49,1396,0
66,10,33,5,0,415,877,74,88,72,2098,1
67,12,50,2,1,574,735,38,72,40,2520,1
68,2,9,7,1,149,788,27,88,60,1773,1
69,13,6,3,0,146,922,47,61,58,2579,1
70,14,34,2,0,424,632,49,126,36,3291,1
71,12,12,8,0,236,867,16,50,74,3596,1
72,14,38,9,1,513,955,94,94,51,3547,0
